[2026-01-21T02:35:55.458806+00:00] agent started NMS_BASE=http://192.168.137.3:8000 poll=5s limit=10
[2026-01-21T02:35:55.459215+00:00] scanner_name.txt missing/empty; will attempt registration
[2026-01-21T03:23:31.150616+00:00] still unassigned; retry in 10s
[2026-01-21T03:23:47.437477+00:00] still unassigned; retry in 10s
[2026-01-21T03:24:03.725306+00:00] still unassigned; retry in 10s
[2026-01-21T03:24:20.009206+00:00] still unassigned; retry in 10s
[2026-01-21T03:24:36.296238+00:00] still unassigned; retry in 10s
[2026-01-21T03:24:52.585548+00:00] still unassigned; retry in 10s
[2026-01-21T03:25:08.875748+00:00] still unassigned; retry in 10s
[2026-01-21T03:25:25.160484+00:00] still unassigned; retry in 10s
[2026-01-21T03:25:41.446904+00:00] still unassigned; retry in 10s
[2026-01-21T03:25:57.736583+00:00] still unassigned; retry in 10s
[2026-01-21T03:26:14.022820+00:00] still unassigned; retry in 10s
[2026-01-21T03:26:30.308547+00:00] still unassigned; retry in 10s
[2026-01-21T03:26:46.594698+00:00] still unassigned; retry in 10s
[2026-01-21T03:27:02.886880+00:00] still unassigned; retry in 10s
[2026-01-21T03:27:19.150728+00:00] still unassigned; retry in 10s
[2026-01-21T03:27:35.445269+00:00] still unassigned; retry in 10s
[2026-01-21T03:27:51.741896+00:00] still unassigned; retry in 10s
[2026-01-21T03:28:08.039303+00:00] still unassigned; retry in 10s
[2026-01-21T03:28:24.334240+00:00] still unassigned; retry in 10s
[2026-01-21T03:28:40.616788+00:00] still unassigned; retry in 10s
[2026-01-21T03:28:56.912349+00:00] still unassigned; retry in 10s
[2026-01-21T03:29:13.202614+00:00] still unassigned; retry in 10s
[2026-01-21T03:29:29.496328+00:00] still unassigned; retry in 10s
[2026-01-21T03:29:45.793977+00:00] still unassigned; retry in 10s
[2026-01-21T03:30:02.090269+00:00] still unassigned; retry in 10s
[2026-01-21T03:30:18.388835+00:00] still unassigned; retry in 10s
[2026-01-21T03:30:34.687707+00:00] still unassigned; retry in 10s
[2026-01-21T03:30:50.982071+00:00] still unassigned; retry in 10s
[2026-01-21T03:31:07.278328+00:00] still unassigned; retry in 10s
[2026-01-21T03:31:23.573032+00:00] still unassigned; retry in 10s
[2026-01-21T03:31:39.915223+00:00] still unassigned; retry in 10s
[2026-01-21T03:31:56.211818+00:00] still unassigned; retry in 10s
[2026-01-21T03:32:12.501886+00:00] still unassigned; retry in 10s
[2026-01-21T03:32:28.732519+00:00] still unassigned; retry in 10s
[2026-01-21T03:32:45.026225+00:00] still unassigned; retry in 10s
[2026-01-21T03:33:01.317161+00:00] still unassigned; retry in 10s
[2026-01-21T03:33:17.605744+00:00] still unassigned; retry in 10s
[2026-01-21T03:33:33.895994+00:00] still unassigned; retry in 10s
[2026-01-21T03:33:50.183124+00:00] still unassigned; retry in 10s
[2026-01-21T03:34:06.468550+00:00] still unassigned; retry in 10s
[2026-01-21T03:34:22.756124+00:00] still unassigned; retry in 10s
[2026-01-21T03:34:39.042284+00:00] still unassigned; retry in 10s
[2026-01-21T03:34:55.328103+00:00] still unassigned; retry in 10s
[2026-01-21T03:35:11.617309+00:00] still unassigned; retry in 10s
[2026-01-21T03:35:27.906819+00:00] still unassigned; retry in 10s
[2026-01-21T03:35:44.197584+00:00] still unassigned; retry in 10s
[2026-01-21T03:36:00.486852+00:00] still unassigned; retry in 10s
[2026-01-21T03:36:16.772650+00:00] still unassigned; retry in 10s
[2026-01-21T03:36:33.053965+00:00] still unassigned; retry in 10s
[2026-01-21T03:36:49.346507+00:00] still unassigned; retry in 10s
[2026-01-21T03:37:05.631773+00:00] still unassigned; retry in 10s
[2026-01-21T03:37:21.922740+00:00] still unassigned; retry in 10s
[2026-01-21T03:37:38.210281+00:00] still unassigned; retry in 10s
[2026-01-21T03:37:54.495997+00:00] still unassigned; retry in 10s
[2026-01-21T03:38:10.786947+00:00] still unassigned; retry in 10s
[2026-01-21T03:38:27.073660+00:00] still unassigned; retry in 10s
[2026-01-21T03:38:43.365846+00:00] still unassigned; retry in 10s
[2026-01-21T03:38:59.652851+00:00] still unassigned; retry in 10s
[2026-01-21T03:39:15.945336+00:00] still unassigned; retry in 10s
[2026-01-21T03:39:32.226540+00:00] still unassigned; retry in 10s
[2026-01-21T03:39:48.513187+00:00] still unassigned; retry in 10s
[2026-01-21T03:40:04.798512+00:00] still unassigned; retry in 10s
[2026-01-21T03:40:21.084627+00:00] still unassigned; retry in 10s
[2026-01-21T03:40:37.369772+00:00] still unassigned; retry in 10s
[2026-01-21T03:40:53.661468+00:00] still unassigned; retry in 10s
[2026-01-21T03:41:09.943588+00:00] still unassigned; retry in 10s
[2026-01-21T03:41:26.230005+00:00] still unassigned; retry in 10s
[2026-01-21T03:41:42.517886+00:00] still unassigned; retry in 10s
[2026-01-21T03:41:58.804131+00:00] still unassigned; retry in 10s
[2026-01-21T03:42:15.092959+00:00] still unassigned; retry in 10s
[2026-01-21T03:42:31.379498+00:00] still unassigned; retry in 10s
[2026-01-21T03:42:47.669403+00:00] still unassigned; retry in 10s
[2026-01-21T03:43:03.955143+00:00] still unassigned; retry in 10s
[2026-01-21T03:43:20.242716+00:00] still unassigned; retry in 10s
[2026-01-21T03:43:36.529240+00:00] still unassigned; retry in 10s
[2026-01-21T03:43:52.815932+00:00] still unassigned; retry in 10s
[2026-01-21T03:44:09.103036+00:00] still unassigned; retry in 10s
[2026-01-21T03:44:25.393198+00:00] still unassigned; retry in 10s
[2026-01-21T03:44:41.687336+00:00] still unassigned; retry in 10s
[2026-01-21T03:44:57.975087+00:00] still unassigned; retry in 10s
[2026-01-21T03:45:14.261958+00:00] still unassigned; retry in 10s
[2026-01-21T03:45:30.554047+00:00] still unassigned; retry in 10s
[2026-01-21T03:45:46.844879+00:00] still unassigned; retry in 10s
[2026-01-21T03:46:03.131541+00:00] still unassigned; retry in 10s
[2026-01-21T03:46:19.420590+00:00] still unassigned; retry in 10s
[2026-01-21T03:46:35.707534+00:00] still unassigned; retry in 10s
[2026-01-21T03:46:51.992253+00:00] still unassigned; retry in 10s
[2026-01-21T03:47:08.277216+00:00] still unassigned; retry in 10s
[2026-01-21T03:47:24.569604+00:00] still unassigned; retry in 10s
[2026-01-21T03:47:40.856104+00:00] still unassigned; retry in 10s
[2026-01-21T03:47:57.143733+00:00] still unassigned; retry in 10s
[2026-01-21T03:48:13.425228+00:00] still unassigned; retry in 10s
[2026-01-21T03:48:29.715193+00:00] still unassigned; retry in 10s
[2026-01-21T03:48:46.001784+00:00] still unassigned; retry in 10s
[2026-01-21T03:49:02.291578+00:00] still unassigned; retry in 10s
[2026-01-21T03:49:18.581318+00:00] still unassigned; retry in 10s
[2026-01-21T03:49:34.865852+00:00] still unassigned; retry in 10s
[2026-01-21T03:49:51.155042+00:00] still unassigned; retry in 10s
[2026-01-21T03:50:07.456907+00:00] still unassigned; retry in 10s
[2026-01-21T03:50:23.747741+00:00] still unassigned; retry in 10s
[2026-01-21T03:50:40.037201+00:00] still unassigned; retry in 10s
[2026-01-21T03:50:56.322132+00:00] still unassigned; retry in 10s
[2026-01-21T03:51:12.611700+00:00] still unassigned; retry in 10s
[2026-01-21T03:51:28.903420+00:00] still unassigned; retry in 10s
[2026-01-21T03:51:45.192287+00:00] still unassigned; retry in 10s
[2026-01-21T03:52:01.481828+00:00] still unassigned; retry in 10s
[2026-01-21T03:52:17.767217+00:00] still unassigned; retry in 10s
[2026-01-21T03:52:34.053803+00:00] still unassigned; retry in 10s
[2026-01-21T03:52:50.340194+00:00] still unassigned; retry in 10s
[2026-01-21T03:53:06.627338+00:00] still unassigned; retry in 10s
[2026-01-21T03:53:22.913040+00:00] still unassigned; retry in 10s
[2026-01-21T03:53:39.200582+00:00] still unassigned; retry in 10s
[2026-01-21T03:53:55.487720+00:00] still unassigned; retry in 10s
[2026-01-21T03:54:11.775922+00:00] still unassigned; retry in 10s
[2026-01-21T03:54:28.065998+00:00] still unassigned; retry in 10s
[2026-01-21T03:54:44.393886+00:00] still unassigned; retry in 10s
[2026-01-21T03:55:00.683554+00:00] still unassigned; retry in 10s
[2026-01-21T03:55:16.969696+00:00] still unassigned; retry in 10s
[2026-01-21T03:55:33.259430+00:00] still unassigned; retry in 10s
[2026-01-21T03:55:49.550957+00:00] still unassigned; retry in 10s
[2026-01-21T03:56:05.836426+00:00] still unassigned; retry in 10s
[2026-01-21T03:56:22.122634+00:00] still unassigned; retry in 10s
